dron	rxcui	omop
DRON_00021120	371257	40021188
DRON_00021121	371258	40021200
DRON_00021122	371259	40021194
DRON_00021123	371260	40021196
DRON_00021124	371261	40091221
DRON_00021125	371262	40091219
DRON_00021126	371263	40021205
DRON_00021127	371264	40021248
DRON_00021128	371265	40021250
DRON_00021129	371266	40021269
DRON_00021130	371267	40021509
DRON_00021131	371268	40021507
DRON_00021132	371269	40021558
DRON_00021133	371270	40097325
DRON_00021134	371271	40097330
DRON_00021135	371273	40097352
DRON_00021136	371274	40097326
DRON_00021137	371275	40092102
DRON_00021138	371277	40092109
DRON_00021139	371279	40097361
DRON_00021140	371280	40021844
DRON_00021141	371281	40021845
DRON_00021142	371284	40022184
DRON_00021143	371285	40022437
DRON_00021144	371286	40022193
DRON_00021145	371287	40022475
DRON_00021146	371288	40022512
DRON_00021147	371289	40022483
DRON_00021148	371290	40022484
DRON_00021149	371291	40022485
DRON_00021150	371292	40003567
DRON_00021151	371293	40022773
DRON_00021152	371294	40022798
DRON_00021153	371295	40022801
DRON_00021154	371296	40092145
DRON_00021155	371298	40023116
DRON_00021156	371299	40022808
DRON_00021157	371301	40022839
DRON_00021158	371302	40023428
DRON_00021159	371303	40023427
DRON_00021160	371304	40023429
DRON_00021161	371305	40005946
DRON_00021162	371306	40005947
DRON_00021163	371307	40023713
DRON_00021164	371308	40023715
DRON_00021165	371309	40023738
DRON_00021166	371310	40023737
DRON_00021167	371311	40101660
DRON_00021168	371312	40101661
DRON_00021169	371313	40024032
DRON_00021170	371314	40024038
DRON_00021171	371315	40024040
DRON_00021172	371316	40024072
DRON_00021173	371318	40024076
DRON_00021174	371319	40024078
DRON_00021175	371320	40008348
DRON_00021176	371321	40008349
DRON_00021177	371322	40024353
DRON_00021178	371323	40024354
DRON_00021179	371324	40024386
DRON_00021180	371325	40092162
DRON_00021181	371326	40092165
DRON_00021182	371327	40024407
DRON_00021183	371328	40024408
DRON_00021184	371331	40024722
DRON_00021185	371333	40092559
DRON_00021186	371334	40092561
DRON_00021187	371335	40092578
DRON_00021188	371336	40092579
DRON_00021189	371337	40025074
DRON_00021190	371338	40092593
DRON_00021191	371339	40092595
DRON_00021192	371340	40020955
DRON_00021193	371341	40020949
DRON_00021194	371342	40020957
DRON_00021195	371343	40092942
DRON_00021196	371344	40020980
DRON_00021197	371345	40021303
DRON_00021198	371346	40021309
DRON_00021199	371347	40021314
DRON_00021200	371349	40016504
DRON_00021201	371350	40016505
DRON_00021202	371352	40021360
DRON_00021203	371353	40021592
DRON_00021204	371354	40021625
DRON_00021205	371355	40021623
DRON_00021206	371356	40021628
DRON_00021207	371357	40021629
DRON_00021208	371358	40097666
DRON_00021209	371359	40092963
DRON_00021210	371360	40092979
DRON_00021211	371361	40092980
DRON_00021212	371362	40021692
DRON_00021213	371364	40021695
DRON_00021214	371365	40021664
DRON_00021215	371366	40021975
DRON_00021216	371375	40022923
DRON_00021217	371376	40023494
DRON_00021218	371377	40023487
DRON_00021219	371378	40023500
DRON_00021220	371379	40023498
DRON_00021221	371380	40023497
DRON_00021222	371381	40023499
DRON_00021223	371382	40023506
DRON_00021224	371383	40022931
DRON_00021225	371384	40022937
DRON_00021226	371385	40022940
DRON_00021227	371386	40022941
DRON_00021228	371387	40022942
DRON_00021229	371388	40093037
DRON_00021230	371389	40023849
DRON_00021231	371390	40023855
DRON_00021232	371391	40024528
DRON_00021233	371392	40024792
DRON_00021234	371393	40024782
DRON_00021235	371394	40021919
DRON_00021236	371395	40092988
DRON_00021237	371396	40025118
DRON_00021238	371397	40025148
DRON_00021239	371398	40020372
DRON_00021240	371399	40020375
DRON_00021241	371400	40020373
DRON_00021242	371401	40093791
DRON_00021243	371402	40093799
DRON_00021244	371403	40093800
DRON_00021245	371404	40020381
DRON_00021246	371405	40020422
DRON_00021247	371407	40020427
DRON_00021248	371408	40020425
DRON_00021249	371409	40020716
DRON_00021250	371410	40020718
DRON_00021251	371411	40020732
DRON_00021252	371412	40096240
DRON_00021253	371413	40022989
DRON_00021254	371414	40023568
DRON_00021255	371415	40096170
DRON_00021256	371416	40020752
DRON_00021257	371417	40022980
