concept_id|concept_code
40063654|375864
40060908|378142
40058083|361834
40056678|446267
40056679|446263
40056680|446259
40056609|440621
40049684|372421
40049686|370648
40049691|378635
40049693|372422
40049695|108133
40049696|372417
40049697|375843
40049698|370647
40049700|370649
40049703|372423
40049704|377032
40049705|374384
40049707|377723
40049721|376828
40049723|372418
40049728|370645
40060913|377253
40060914|452465
40066571|372862
40066577|476368
40066578|372861
40059721|379035
40059722|446189
40059729|372669
40059732|372670
40073792|375227
40073008|378731
40066327|446406
40069999|377777
40060057|439862
40057975|377440
40071153|446774
40071154|373105
40066137|446452
40066138|375876
40066139|376259
40066140|372854
40081176|451424
40055586|446328
40055587|446326
40065404|372842
40065405|374652
40070931|373231
40070932|373232
40067862|373361
40066072|372750
40066073|375158
40066074|375159
40066075|372749
40066076|376360
40066077|372751
40073529|373583
40073531|373585
40073558|373669
40060101|486897
40060103|441019
40060104|372674
40061475|376933
40061476|372883
40061478|376919
40061479|372886
40047559|379031
40047562|379274
40062557|372787
40062558|381080
40063795|372914
40063798|446476
40063800|377417
40063801|446491
40063802|385140
40063803|446490
40063804|372918
40063806|385494
40063807|377764
40067323|374064
40067329|373129
40063088|372982
40073563|373668
40073564|373674
40073566|373667
40073567|373671
40072633|485035
40055813|452785
40055814|377901
40055249|372752
40055250|446251
40056397|401616
40056400|438963
40056408|439683
40069686|378991
40054439|441032
40054440|441035
40054441|372680
40054442|379366
40054443|311424
40054446|204730
40057540|371912
40057543|378810
40057545|375034
40058852|375522
40067931|450485
40067932|450489
40073113|384633
40073114|376523
40073115|379128
40054881|377906
40054884|377051
40053963|370732
40053964|377462
40053965|379033
40053988|375543
40061466|372887
40061469|372884
40079643|373838
40079644|373837
40066497|377522
40092162|371325
40092165|371326
40085015|373768
40085016|373769
40085042|377197
40088003|374240
40086290|376541
40089868|374167
40088564|374295
40088565|452552
40088566|452550
40088567|374296
40088568|374297
40094632|371542
40094633|371544
40094634|371543
40094637|378401
40094646|378400
40094654|374380
40094657|450873
40094673|371559
40094674|371560
40094679|371561
40087247|375983
40087253|374281
40074843|373401
40074844|376280
40074846|373400
40090138|452103
40090148|452106
40087981|452393
40093832|377946
40093834|377872
40093835|446270
40093836|446273
40093837|438491
40093842|377467
40093845|377870
40093854|402337
40093855|385207
40093857|379079
40093858|376844
40093859|375360
40072545|376784
40073584|451183
40073585|373673
40090312|374182
40092145|371296
40090149|452110
40090150|452108
40078766|451305
40078767|451137
40078768|373972
40078774|373973
40093996|370845
40093997|370846
40077118|376858
40077149|373467
40093712|372879
40093713|451204
40093714|451927
40094416|437712
40086769|374210
40086771|435380
40086772|375955
40086773|452353
40087523|452378
40087524|374217
40087526|374218
40087527|374216
40087528|374219
40087529|452374
42801309|1297537
42801254|1297527
42801267|1297529
42801272|1297525
42801108|8834
42801112|1299981
42800417|1299884
42799711|1294580
42800027|1292422
42800226|1294632
42800238|1294634
42800240|1293719
42800246|1291609
42800040|1291301
42799567|1291425
42799803|1294630
42800082|1294628
42800204|1293254
19011193|132871
929638|16818
1036059|1001
19066609|259525
19082591|317584
19066409|259261
19013759|314553
19056647|236872
19018489|1817
1133201|1819
750982|42347
19018285|15842
19018287|15850
787362|623
19088167|625
19091311|236340
19014202|12062
19066569|259404
19015346|1325
19015397|133050
1398937|2599
19017893|325527
1337860|3628
19058420|89780
19091472|6446
19124477|6448
751246|42351
19010337|113374
19032614|178
19037596|193
19037624|194
1139042|197
19020949|199
19040233|200
19091149|236
19057483|239
19058354|242
19095766|249
1701651|270
1701928|272
1703687|281
19071966|290
1309204|296
19015230|318
1354698|44
19123344|61
19018384|74
1363516|94
1369939|99
19014878|1256
19055078|235408
19055712|235987
19070922|283553
19096783|253161
980311|58939
19014912|317199
1503057|677
19060826|485234
19071094|283674
19012585|1156
1398719|259441
1337331|360262
904205|283540
19056402|236594
1717327|733
1322207|15202
989878|6387
901318|267366
19006969|1054
19000729|1056
19019131|142131
1130863|1767
19015423|1344
19023835|76469
19012686|1169
1167322|519
1307247|285243
19090016|23405
19054993|23419
19067412|52014
19033664|183875
1304107|282388
19072088|29961
1115008|7258
732309|8047
1703069|276237
782211|60307
19030376|7993
704943|6845
19060992|91264
19068028|26051
19052682|2228
19026739|7891
988294|22701
561429|91610
19008192|29006
992409|237929
938268|36387
1118117|141366
903893|28144
943634|39684
1318853|7417
990337|235375
19011062|11469
19009676|70161
994058|6628
1313200|7226
1308185|29008
908360|29151
19009458|107018
1703653|28031
1506270|6902
1784444|6069
19069106|27492
19069107|27518
937368|191831
19065867|25608
19091486|23651
19001653|26867
19050087|41289
19136426|10176
19136429|10178
19056705|236908
19056160|236395
19016592|324051
19135788|8604
19056631|453012
947705|8463
19005257|6857
19016457|324028
19009138|6985
19016747|7301
717136|7315
19101402|26397
801396|26412
19048493|84990
19103699|41144
907553|28627
19096546|25121
19097605|25544
19069131|27792
19064432|25127
19064496|25142
19064698|25193
19003491|27901
19003593|28012
905233|108118
19000818|10172
1836410|10173
19000819|10174
19136423|10175
514012|314724
514015|314725
19016540|324050
19055531|235829
1360890|487252
19129738|7906
19027181|7909
903643|10753
794229|6664
19096880|349753
19059511|89870
1724703|7773
19135815|89721
996541|25126
19069006|26797
19097463|25483
1154161|88249
19011355|307296
1150871|42331
19013986|314718
1794280|6672
19080959|3155
1517998|139953
19136027|9506
19011093|117466
19057718|465118
1315411|318341
19122155|59695
19054821|44151
19113007|498193
19005061|68503
1726228|7833
19068952|266979
1106776|69120
19016959|13982
19080375|59064
19093362|33752
19094153|66422
19071808|285165
19018197|154876
586488|221182
1111706|114970
1389885|232540
19016749|73032
935382|35360
1516766|73044
947651|8462
19022570|33086
19052553|221157
19011685|114817
19036638|35805
