Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
AMPHIACHYRIS DRACUNCULOIDES POLLEN	83X1I1RR5F						
AMPHOTERICIN B	7XU7A7DROE	DB00681	Amphotericin B				
AMPICILLIN	7C782967RD	DB00415	Ampicillin	DB00415	Ampicillin	DB00415	Ampicillin
AMPRENAVIR	5S0W860XNR	DB00701	Amprenavir				
AMYL NITRITE	22T8Z09XAK	DB01612	Amyl Nitrite	DB01612	Amyl Nitrite		
ANAGRELIDE	K9X45X0051	DB00261	Anagrelide	DB00261	Anagrelide		
ANAKINRA	9013DUQ28K	DB00026	Anakinra				
ANAS PLATYRHYNCHOS FEATHER	83B65P4796						
ANASTROZOLE	2Z07MYW1AZ	DB01217	Anastrozole	DB01217	Anastrozole	DB01217	Anastrozole
ANHYDROUS CITRIC ACID	XF417D3PSL						
ANHYDROUS DEXTROSE	5SL0G7R0OK						
ANIDULAFUNGIN	9HLM53094I	DB00362	Anidulafungin	DB00362	Anidulafungin		
ANSER ANSER FEATHER	15XI414745						
ANTHOXANTHUM ODORATUM POLLEN	2KIK19R45Y						
ANTHRALIN	U8CJK0JH5M			DB00233	Aminosalicylic Acid		
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	P89DR4NY54						
ANTI-INHIBITOR COAGULANT COMPLEX	CS849DUN3M						
ANTIPYRINE	T3CHA1B51H	DB01435	Antipyrine	DB01435	Antipyrine	DB01435	Antipyrine
ANTITHROMBIN ALFA	AWV6I5L6H2						
APIOSPORA MONTAGNEI	49VI1ZSO06						
APIS MELLIFERA VENOM	76013O881M						
APOMORPHINE	N21FAR7B4S	DB00714	Apomorphine	DB00714	Apomorphine		
APPLE	B423VGH5S9						
APRACLONIDINE	843CEN85DI	DB00964	Apraclonidine	DB00515	Cisplatin		
APREPITANT	1NF15YR6UY	DB00673	Aprepitant	DB00673	Aprepitant		
APRICOT	269CJD5GZ9						
ARABICA COFFEE BEAN	3SW678MX72						
ARBUTIN	C5INA23HXF			DB02163	2,5-Xylidine		
ARFORMOTEROL	F91H02EBWT	DB01274	Arformoterol	DB01274	Arformoterol		
ARGATROBAN	IY90U61Z3S	DB00278	Argatroban				
ARGININE	94ZLA3W45F	DB00125	L-Arginine	DB00125	L-Arginine	DB00125	L-Arginine
