Moiety	UNII	DrugBank (auto)	Label (auto)	DrugBank (Bioportal)	Label (Bioportal)	DrugBank (INCHI)	Label (INCHI)
MITOXANTRONE	BZ114NVM5P	DB01204	Mitoxantrone	DB01204	Mitoxantrone		
MIVACURIUM	77D66S9Q93	DB01226	Mivacurium			DB01226	Mivacurium
MODAFINIL	R3UK8X3U3D	DB00745	Modafinil			DB00745	Modafinil
MOEXIPRIL	WT87C52TJZ	DB00691	Moexipril				
MOEXIPRILAT	H3753190JS						
MOLYBDENUM	81AH48963U						
MOLYBDENUM MO-99	6634O61GOI						
MOMETASONE	8HR4QJ6DW8	DB00764	Mometasone	DB00764	Mometasone	DB00764	Mometasone
MOMETASONE FUROATE	04201GDN4R	DB00764	Mometasone				
MONOBENZONE	9L2KA76MG5	DB00600	Monobenzone	DB00600	Monobenzone	DB00600	Monobenzone
MONOFLUOROPHOSPHATE ION	4964UZ79MI						
MONTELUKAST	MHM278SD3E	DB00471	Montelukast				
MORELLA CERIFERA POLLEN	LC8MEV9S89						
MORICIZINE	2GT1D0TMX1	DB00680	Moricizine	DB00680	Moricizine	DB00680	Moricizine
MORPHINE	76I7G6D29C	DB00295	Morphine	DB00295	Morphine	DB00295	Morphine
MORUS ALBA POLLEN	3I9T68187H						
MORUS ALBA ROOT BARK	SV6B76DK9N						
MORUS RUBRA POLLEN	9LYI4RTZ52						
MOXIFLOXACIN	U188XYD42P	DB00218	Moxifloxacin				
MUCOR PLUMBEUS	D7401PWY6E						
MUCOR RACEMOSUS	17RH99LQ7G						
MUNG BEAN	1LIB31N73G						
MUPIROCIN	D0GX863OA5	DB00410	Mupirocin				
MUROMONAB-CD3	JGA39ICE2V	DB00075	Muromonab				
MUS MUSCULUS SKIN	390AN9GB09						
MUSCA DOMESTICA	PV7823W303						
MUSTARD GREENS	5M338IN22E						
MUSTARD SEED	58RXI817UT						
MYCOCLADUS CORYMBIFERUS	1M4E76V32I						
MYCOGONE NIGRA	0X3XUJ41IX						
MYCOPHENOLIC ACID	HU9DX48N0T	DB01024	Mycophenolic acid	DB01024	Mycophenolic acid		
MYROTHECIUM VERRUCARIA	W5U19AK212						
MYRRH	JC71GJ1F3L						
NABILONE	2N4O9L084N	DB00486	Nabilone				
NABUMETONE	LW0TIW155Z	DB00461	Nabumetone			DB00461	Nabumetone
N-ACETYLGLUCOSAMINE	V956696549	DB00141	N-Acetyl-D-glucosamine			DB00141	N-Acetyl-D-glucosamine
N-ACETYL-TYROSINE	DA8G610ZO5						
NADIDE	0U46U6E8UK	DB00157	NADH	DB01907	Nicotinamide-Adenine-Dinucleotide		
NADOLOL	FEN504330V	DB01203	Nadolol	DB01203	Nadolol	DB01203	Nadolol
NAFARELIN	1X0094V6JV	DB00666	Nafarelin				
NAFCILLIN	4CNZ27M7RV	DB00607	Nafcillin	DB00607	Nafcillin		
NAFTIFINE	4FB1TON47A	DB00735	Naftifine				
NALBUPHINE	L2T84IQI2K	DB00844	Nalbuphine	DB00844	Nalbuphine	DB00844	Nalbuphine
NALIDIXIC ACID	3B91HWA56M	DB00779	Nalidixic Acid	DB00779	Nalidixic Acid	DB00779	Nalidixic Acid
NALMEFENE	TOV02TDP9I						
NALOXONE	36B82AMQ7N	DB01183	Naloxone	DB01183	Naloxone		
NALTREXONE	5S6W795CQM	DB00704	Naltrexone	DB00704	Naltrexone	DB00704	Naltrexone
NANDROLONE	6PG9VR430D						
NAPHAZOLINE	H231GF11BV	DB06711	Naphazoline			DB06711	Naphazoline
NAPROXEN	57Y76R9ATQ	DB00788	Naproxen	DB00788	Naproxen		
NARATRIPTAN	QX3KXL1ZA2	DB00952	Naratriptan	DB00952	Naratriptan		
NATALIZUMAB	3JB47N2Q2P	DB00108	Natalizumab				
NATAMYCIN	8O0C852CPO	DB00826	Natamycin				
NATEGLINIDE	41X3PWK4O2	DB00731	Nateglinide				
NEBIVOLOL	030Y90569U	DB04861	Nebivolol			DB04861	Nebivolol
NECTARINE	65KD9TD4C3						
NEDOCROMIL	0B535E0BN0	DB00716	Nedocromil	DB00716	Nedocromil		
NEFAZODONE	59H4FCV1TF	DB01149	Nefazodone	DB01149	Nefazodone		
NELARABINE	60158CV180	 	 				
NELFINAVIR	HO3OGH5D7I	DB00220	Nelfinavir				
NEOMYCIN	I16QD7X297	DB00994	Neomycin	DB00994	Neomycin	DB00994	Neomycin
NEOSTIGMINE	3982TWQ96G	DB01400	Neostigmine	DB01400	Neostigmine		
NEPAFENAC	0J9L7J6V8C	DB06802	Nepafenac			DB06802	Nepafenac
NESIRITIDE	P7WI8UL647	DB04899	Nesiritide				
NEUROSPORA CRASSA	1X92VM01YP						
NEUROSPORA INTERMEDIA	2072U60DUI						
NEUROSPORA SITOPHILA	I9D9Z5GCW5						
NEVIRAPINE	99DK7FVK1H	DB00238	Nevirapine			DB00238	Nevirapine
NIACIN	2679MF687A	DB00627	Niacin	DB00627	Niacin		
NIACINAMIDE	25X51I8RD4	DB02701	Nicotinamide	DB02701	Nicotinamide	DB02701	Nicotinamide
NICARDIPINE	CZ5312222S	DB00622	Nicardipine				
NICOTINE	6M3C89ZY6R	DB00184	Nicotine	DB00184	Nicotine	DB00184	Nicotine
NIFEDIPINE	I9ZF7L6G2L	DB01115	Nifedipine	DB00233	Aminosalicylic Acid		
NILOTINIB	F41401512X	DB04868	Nilotinib	DB04868	Nilotinib	DB04868	Nilotinib
NILUTAMIDE	51G6I8B902	DB00665	Nilutamide	DB00665	Nilutamide		
NIMODIPINE	57WA9QZ5WH	DB00393	Nimodipine	 	 	DB00393	Nimodipine
NISOLDIPINE	4I8HAB65SZ	DB00401	Nisoldipine				
NITAZOXANIDE	SOA12P041N	DB00507	Nitazoxanide				
NITISINONE	K5BN214699	DB00348	Nitisinone	DB00348	Nitisinone		
NITRATE ION	T93E9Y2844						
NITRIC OXIDE	31C4KY9ESH	DB00435	Nitric Oxide	DB00435	Nitric Oxide		
NITROFURANTOIN	927AH8112L	DB00698	Nitrofurantoin				
NITROGEN	N762921K75						
NITROGLYCERIN	G59M7S0WS3	DB00727	Nitroglycerin	DB00727	Nitroglycerin	DB00727	Nitroglycerin
NITROUS OXIDE	K50XQU1029						
NIZATIDINE	P41PML4GHR	DB00585	Nizatidine				
NORELGESTROMIN	R0TAY3X631	DB06713	Norelgestromin				
NOREPINEPHRINE	X4W3ENH1CV	DB00368	Norepinephrine	DB00368	Norepinephrine		
NORETHINDRONE	T18F433X4S	DB00717	Norethindrone	DB00717	Norethindrone	DB00717	Norethindrone
NORFLOXACIN	N0F8P22L1P	DB01059	Norfloxacin	DB01059	Norfloxacin		
NORGESTIMATE	C291HFX4DY	DB00957	Norgestimate	DB00957	Norgestimate		
NORGESTREL	3J8Q1747Z2			DB01172	Kanamycin		
NORTHERN PIKE	5JKY494U4L						
NORTRIPTYLINE	BL03SY4LXB	DB00540	Nortriptyline	DB00540	Nortriptyline		
NUTMEG	AEE24M3MQ9						
NYSTATIN	BDF1O1C72E	DB00646	Nystatin	 	 		
OAT	Z6J799EAJK						
OATMEAL	8PI54V663Y						
OCIMUM TENUIFLORUM TOP	34T63W8ULS						
OCTINOXATE	4Y5P7MUD51						
OCTISALATE	4X49Y0596W						
OCTOCRYLENE	5A68WGF6WM						
OCTREOTIDE	RWM8CCW8GP	DB00104	Octreotide				
ODOCOILEUS VIRGINIANUS HAIR	C27W02JU62						
OFATUMUMAB	M95KG522R0						
OFLOXACIN	A4P49JAZ9H	DB01165	Ofloxacin	DB01165	Ofloxacin	DB01165	Ofloxacin
OKRA	51ME2L7STL						
OLANZAPINE	N7U69T4SZR	DB00334	Olanzapine	DB00334	Olanzapine	DB00334	Olanzapine
OLEA EUROPAEA POLLEN	43R41XZ627						
OLMESARTAN	8W1IQP3U10	DB00275	Olmesartan	DB00275	Olmesartan		
OLOPATADINE	D27V6190PM	DB00768	Olopatadine				
OLSALAZINE	ULS5I8J03O	DB01250	Olsalazine				
OMALIZUMAB	2P471X1Z11	DB00043	Omalizumab				
OMEGA-3 FATTY ACIDS	71M78END5S						
OMEGA-3-ACID ETHYL ESTERS	D87YGH4Z0Q						
OMEPRAZOLE	KG60484QX9	DB00338	Omeprazole	DB00338	Omeprazole	DB00338	Omeprazole
OMEPRAZOLE MAGNESIUM	426QFE7XLK	DB00338	Omeprazole				
ONDANSETRON	4AF302ESOS	DB00904	Ondansetron				
ONION	492225Q21H						
OPRELVEKIN	HM5641GA6F	DB00038	Oprelvekin				
ORANGE	5EVU04N5QU						
OREGANO	0E5AT8T16U						
ORLISTAT	95M8R751W8	DB01083	Orlistat				
ORPHENADRINE	AL805O9OG9	DB01173	Orphenadrine	DB01173	Orphenadrine		
ORYCTOLAGUS CUNICULUS HAIR	09N62XQ70Y						
ORYCTOLAGUS CUNICULUS SKIN	Z91WAU43WC						
OSELTAMIVIR	20O93L6F9H	DB00198	Oseltamivir	DB00198	Oseltamivir		
OVINE DIGOXIN IMMUNE FAB	YB12NQZ1YN	DB00076	Digoxin Immune Fab				
OXACILLIN	UH95VD7V76	DB00713	Oxacillin	DB00713	Oxacillin		
OXALIPLATIN	04ZR38536J	DB00526	Oxaliplatin	DB00526	Oxaliplatin		
OXANDROLONE	7H6TM3CT4L	DB00621	Oxandrolone	DB00621	Oxandrolone		
OXAPROZIN	MHJ80W9LRB	DB00991	Oxaprozin				
OXAZEPAM	6GOW6DWN2A	DB00842	Oxazepam	 	 		
OXCARBAZEPINE	VZI5B1W380	DB00776	Oxcarbazepine			DB00776	Oxcarbazepine
OXICONAZOLE	C668Q9I33J	DB00239	Oxiconazole				
OXIDRONIC ACID	71MR4V32TI						
OXYBENZONE	95OOS7VE0Y	DB01428	Oxybenzone			DB01428	Oxybenzone
OXYBUTYNIN	K9P6MC7092	DB01062	Oxybutynin	DB01062	Oxybutynin		
OXYCODONE	CD35PMG570	DB00497	Oxycodone	DB00497	Oxycodone	DB00497	Oxycodone
OXYGEN	S88TT14065						
OXYMETAZOLINE	8VLN5B44ZY	DB00935	Oxymetazoline			DB00935	Oxymetazoline
OXYMETHOLONE	L76T0ZCA8K	 	 				
OXYMORPHONE	9VXA968E0C	DB01192	Oxymorphone			DB01192	Oxymorphone
OXYQUINOLINE	5UTX5635HP					DB04745	2-OXOQUINOLINE
OXYTETRACYCLINE	X20I9EN955	DB00595	Oxytetracycline	DB00595	Oxytetracycline		
OXYTOCIN	1JQS135EYN	DB00107	Oxytocin				
PACIFIC HALIBUT	BKZ683617P						
PACLITAXEL	P88XT4IS4D	DB01229	Paclitaxel			DB01229	Paclitaxel
PADIMATE A	77FU10423X						
PADIMATE O	Z11006CMUZ						
PAECILOMYCES VARIOTII	KO7V58BY40						
PALIFERMIN	QMS40680K6	DB00039	Palifermin				
PALIPERIDONE	838F01T721	DB01267	Paliperidone			DB01267	Paliperidone
PALIVIZUMAB	DQ448MW7KS	DB00110	Palivizumab				
PALONOSETRON	5D06587D6R	DB00377	Palonosetron				
PAMABROM	UA8U0KJM72						
PAMIDRONIC ACID	OYY3447OMC	DB00282	Pamidronate			DB00282	Pamidronate
PANCRELIPASE	FQ3DRG0N5K	DB00085	Pancrelipase				
PANCRELIPASE AMYLASE	YOJ58O116E						
PANCRELIPASE LIPASE	8MYC33932O						
PANCRELIPASE PROTEASE	3560D81V50						
PANCURONIUM	J76UF062FS	DB01337	Pancuronium	DB01337	Pancuronium		
PANITUMUMAB	6A901E312A	DB01269	Panitumumab				
PANTHENOL	WV9CM0O67Z						
PANTOPRAZOLE	D8TST4O562	DB00213	Pantoprazole	DB00213	Pantoprazole	DB00213	Pantoprazole
PANTOTHENIC ACID	19F5HK2737			DB01783	N-[(2r)-2,4-Dihydroxy-3,3-Dimethylbutanoyl]-Beta-Alanine	DB01783	N-[(2r)-2,4-Dihydroxy-3,3-Dimethylbutanoyl]-Beta-Alanine
PAPAVERINE	DAA13NKG2Q	DB01113	Papaverine			DB01113	Papaverine
PAPAYA	KU94FIY6JB						
PAPRIKA	X72Z47861V						
PARICALCITOL	6702D36OG5	DB00910	Paricalcitol	DB00910	Paricalcitol		
PAROMOMYCIN	61JJC8N5ZK	DB01421	Paromomycin			DB01421	Paromomycin
PAROXETINE	41VRH5220H	DB00715	Paroxetine	DB00715	Paroxetine	DB00715	Paroxetine
PARSLEY	58FMD0Q0EV						
PARSNIP	L2V28YP49S						
PASCOPYRUM SMITHII POLLEN	6AU0ZD8T1O						
PASPALUM NOTATUM POLLEN	V003SHB7VK						
PASSALORA FULVA	HR6H5057CO						
PAZOPANIB	7RN5DR86CK						
PEA	W4X7H8GYFM	 	 	 	 		
PEACH	3OKE88I3QG	DB01361	Troleandomycin			DB01361	Troleandomycin
PEANUT	QE1QX6B99R						
PEAR	2ZN8DWC0YF						
PECAN	F14P91GB5F						
PECTIN	89NA02M4RX						
PEGADEMASE BOVINE	HW3H7D91F6	DB00061	Pegademase bovine				
PEGAPTANIB	2H1PA8H1EN	DB04895	Pegaptanib				
PEGASPARGASE	7D96IR0PPM	DB00059	Pegaspargase				
PEGFILGRASTIM	3A58010674	DB00019	Pegfilgrastim				
PEGINESATIDE	JX56W9N61Q						
PEGINTERFERON ALFA-2A	Q46947FE7K	DB00008	Peginterferon alfa-2a				
PEGINTERFERON ALFA-2B	G8RGG88B68	DB00022	Peginterferon alfa-2b				
PEGLOTICASE	R581OT55EA						
PEGVISOMANT	N824AOU5XV	DB00082	Pegvisomant				
PEMETREXED	04Q9AIZ7NO	DB00642	Pemetrexed				
PEMIROLAST	2C09NV773M	DB00885	Pemirolast			DB00885	Pemirolast
PEMOLINE	7GAQ2332NK	DB01230	Pemoline			DB01230	Pemoline
PENBUTOLOL	78W62V43DY	DB01359	Penbutolol			DB01359	Penbutolol
PENCICLOVIR	359HUE8FJC	DB00299	Penciclovir	DB00299	Penciclovir	DB00299	Penciclovir
PENICILLAMINE	GNN1DV99GX	DB00859	Penicillamine	DB00859	Penicillamine		
PENICILLIN G	Q42T66VG0C	DB01053	Penicillin G	DB01053	Penicillin G	DB01053	Penicillin G
PENICILLIN V	Z61I075U2W	DB00417	Penicillin V	DB00417	Penicillin V		
PENICILLIUM CAMEMBERTI	T069R9OPVG						
PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM	3Y1PE1GCIG						
PENICILLIUM EXPANSUM	1XSC3BB35Z						
PENICILLIUM ITALICUM	AZJ5XKM7W3						
PENICILLIUM ROQUEFORTI	7ORP6R724L						
PENTAGASTRIN	EF0NX91490	DB00183	Pentagastrin				
PENTAMIDINE	673LC5J4LQ	DB00738	Pentamidine	DB00738	Pentamidine	DB00738	Pentamidine
PENTAZOCINE	RP4A60D26L	DB00652	Pentazocine				
PENTETIC ACID	7A314HQM0I						
PENTETREOTIDE	G083B71P98						
PENTOBARBITAL	I4744080IR	DB00312	Pentobarbital	DB00312	Pentobarbital	DB00312	Pentobarbital
PENTOSAN POLYSULFATE	F59P8B75R4	DB00686	Pentosan Polysulfate				
PENTOSTATIN	395575MZO7	DB00552	Pentostatin			DB00552	Pentostatin
PENTOXIFYLLINE	SD6QCT3TSU	DB00806	Pentoxifylline			DB00806	Pentoxifylline
PENTOXYVERINE	32C726X12W						
PEPPERMINT	V95R5KMY2B						
PERFLUTREN	CK0N3WH0SR	DB00556	Perflutren			DB00556	Perflutren
PERGOLIDE	24MJ822NZ9	DB01186	Pergolide				
PERINDOPRIL	Y5GMK36KGY	DB00790	Perindopril	DB00790	Perindopril		
PERINDOPRIL ERBUMINE	1964X464OJ	DB00790	Perindopril				
PERINDOPRILAT	2UV6ZNQ92K						
PERIPLANETA AMERICANA	2RQ1L9N089						
PERMETHRIN	509F88P9SZ	DB04930	Permethrin	DB04930	Permethrin		
PERPHENAZINE	FTA7XXY4EZ	DB00850	Perphenazine	DB00850	Perphenazine	DB00850	Perphenazine
PERTUZUMAB	K16AIQ8CTM						
PETROLATUM	4T6H12BN9U						
PHALARIS ARUNDINACEA POLLEN	FAY1Y90VJ9						
PHALARIS MINOR POLLEN	VBT3DRA2R9						
PHENAZOPYRIDINE	K2J09EMJ52	DB01438	Phenazopyridine				
PHENDIMETRAZINE	AB2794W8KV	DB01579	Phendimetrazine				
PHENELZINE	O408N561GF	DB00780	Phenelzine			DB00780	Phenelzine
PHENIRAMINE	134FM9ZZ6M	DB01620	Pheniramine				
PHENOBARBITAL	YQE403BP4D	DB01174	Phenobarbital	DB01174	Phenobarbital	DB01174	Phenobarbital
PHENOL	339NCG44TV	DB03255	Phenol	DB03255	Phenol		
PHENOXYBENZAMINE	0TTZ664R7Z	DB00925	Phenoxybenzamine			DB00925	Phenoxybenzamine
PHENTERMINE	C045TQL4WP	DB00191	Phentermine	DB00191	Phentermine	DB00191	Phentermine
PHENTOLAMINE	Z468598HBV	DB00692	Phentolamine				
PHENYL SALICYLATE	28A37T47QO						
PHENYL TRIMETHICONE	DR0K5NOJ4R						
PHENYLACETIC ACID	ER5I1W795A						
PHENYLALANINE	47E5O17Y3R	DB00120	L-Phenylalanine	DB00120	L-Phenylalanine	DB00120	L-Phenylalanine
PHENYLBUTYRIC ACID	7WY7YBI87E	DB02000	Gamma-Phenyl-Butyric Acid				
PHENYLEPHRINE	1WS297W6MV	DB00388	Phenylephrine	DB00388	Phenylephrine		
PHENYLTOLOXAMINE	K65LB6598J						
PHENYTOIN	6158TKW0C5	DB00252	Phenytoin	DB00252	Phenytoin	DB00252	Phenytoin
PHLEUM PRATENSE	0P46LFE4VC						
PHLEUM PRATENSE POLLEN	65M88RW2EG						
PHOENIX DACTYLIFERA POLLEN	2FV55IRB5B						
PHOMA DESTRUCTIVA	A17SE577FM						
PHOMA EXIGUA VAR. EXIGUA	8JAG41IE4M						
PHOMA GLOMERATA	UPX000VMIF						
PHOSPHATE ION	NK08V8K8HR						
PHOSPHORIC ACID	E4GA8884NN						
PHOSPHORUS	27YLU75U4W						
PHYCOMYCES BLAKESLEEANUS	41Y752Y34M						
PHYSOSTIGMINE	9U1VM840SP	DB00981	Physostigmine	DB00981	Physostigmine		
PHYTONADIONE	A034SE7857	DB01022	Phytonadione	DB01022	Phytonadione	DB01022	Phytonadione
PICEA PUNGENS POLLEN	R9JBC6687X						
PILOCARPINE	01MI4Q9DI3	DB01085	Pilocarpine	DB01085	Pilocarpine		
PIMECROLIMUS	7KYV510875	DB00337	Pimecrolimus				
PIMOZIDE	1HIZ4DL86F	DB01100	Pimozide	DB01100	Pimozide	DB01100	Pimozide
PINDOLOL	BJ4HF6IU1D	DB00960	Pindolol	DB00960	Pindolol	DB00960	Pindolol
PINEAPPLE	2A88ZO081O						
PINK SALMON	9935G0V38C						
PINUS BANKSIANA POLLEN	YM2P5UN502						
PINUS CONTORTA POLLEN	FB7IP650ET						
PINUS ECHINATA POLLEN	96LRW14765						
PINUS ELLIOTTII POLLEN	QJB9OQO689						
PINUS MONTICOLA POLLEN	3MDX759C0W						
PINUS NIGRA POLLEN	17Q05812N1						
PINUS PALUSTRIS POLLEN	E3A7U1HWIO						
PINUS PONDEROSA POLLEN	042SUA2DS9						
PINUS RESINOSA POLLEN	Q7Y557L8UZ						
PINUS RIGIDA POLLEN	KV6DYF25M4						
PINUS STROBUS POLLEN	TX1ER5UV3T						
PINUS SYLVESTRIS POLLEN	59070I8M63						
PINUS TAEDA POLLEN	4O1FFR8ARN						
PINUS THUNBERGII POLLEN	6607IKD2XX						
PINUS VIRGINIANA POLLEN	P6818UI2E4						
PIOGLITAZONE	X4OV71U42S	DB01132	Pioglitazone	DB01132	Pioglitazone		
PIPERACILLIN	X00B0D5O0E	DB00319	Piperacillin	DB00319	Piperacillin		
PIPERACILLIN ANHYDROUS	9I628532GX	DB00319	Piperacillin	DB00319	Piperacillin		
PIPERONAL	KE109YAK00						
PIPERONYL BUTOXIDE	LWK91TU9AH						
PIRBUTEROL	OG645J8RVW	DB01291	Pirbuterol				
PIROXICAM	13T4O6VMAM	DB00554	Piroxicam	DB00554	Piroxicam		
PISTACHIO	6815CPT6ZJ						
PITAVASTATIN	M5681Q5F9P						
PLANTAGO LANCEOLATA POLLEN	DO87T1U2CI						
PLANTAGO SEED	9C60Y73166						
PLATANUS OCCIDENTALIS POLLEN	E03U1K03LK						
PLATANUS RACEMOSA POLLEN	BWC8DYU8OS						
PLATYCODON GRANDIFLORUM LEAF	2L64H2X8DY						
PLEOSPORA HERBARUM	0N3Z1P4B2W						
PLEOSPORA TARDA	TPL549N9R8						
PLERIXAFOR	S915P5499N	DB06809	Plerixafor			DB06809	Plerixafor
PLUM	67M3EQ6BE1						
POA ANNUA POLLEN	7U437HHU5C						
POA COMPRESSA POLLEN	50HCQ1NYV5						
POA PRATENSIS POLLEN	SCB8J7LS3T						
PODOFILOX	L36H50F353	DB01179	Podofilox	DB01179	Podofilox	DB01179	Podofilox
POLIDOCANOL	0AWH8BFG9A			 	 		
POLISTES ANNULARIS VENOM PROTEIN	987GS3GJZX						
POLISTES EXCLAMANS VENOM PROTEIN	L0L5D5D9BQ						
POLISTES FUSCATUS VENOM PROTEIN	AKT0E6058K						
POLISTES METRICUS VENOM PROTEIN	ZN217W5Y50						
POLYCARBOPHIL	W25LM17A4W						
POLYDATIN	XM261C37CQ						
POLYETHYLENE GLYCOL 300	5655G9Y8AQ						
POLYETHYLENE GLYCOL 3350	G2M7P15E5P						
POLYETHYLENE GLYCOL 3500	FVS1AZD90Y						
POLYETHYLENE GLYCOL 400	B697894SGQ						
POLYETHYLENE GLYCOLS	3WJQ0SDW1A						
POLYMYXIN B	J2VZ07J96K						
POLYQUATERNIUM-10 (400 CPS AT 2%)	HB1401PQFS						
POLYSILICONE-15	F8DRP5BB29						
POLYSORBATE 20	7T1F30V5YH						
POLYSORBATE 80	6OZP39ZG8H						
POLYSTYRENE SULFONIC ACID	70KO0R01RY	DB01344	Polystyrene sulfonate				
POLYTHIAZIDE	36780APV5N	DB01324	Polythiazide				
POLYVINYL ALCOHOL	532B59J990						
POPPY SEED	60RO23IR87						
POPULUS ALBA POLLEN	VU8C8SB23P						
POPULUS DELTOIDES POLLEN	476DVV63WP						
POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN	5928LJ1441						
POPULUS FREMONTII POLLEN	426RHB4302						
POPULUS NIGRA POLLEN	0MGE63QPFJ						
POPULUS TREMULOIDES POLLEN	928OC2TJDA						
PORACTANT ALFA	KE3U2023NP						
PORFIMER	M15H03K69B	DB00707	Porfimer	DB00707	Porfimer		
PORK	O138UB266J						
POSACONAZOLE	6TK1G07BHZ	DB01263	Posaconazole				
POTASSIUM ACETATE	M911911U02						
POTASSIUM CATION	295O53K152						
POTASSIUM CHLORIDE	660YQ98I10	DB00761	Potassium Chloride	DB00761	Potassium Chloride		
POTASSIUM HYDROXIDE	WZH3C48M4T						
POTASSIUM LACTATE	87V1KMK4QV						
POTASSIUM PHOSPHATE, DIBASIC	CI71S98N1Z						
POTASSIUM PHOSPHATE, MONOBASIC	4J9FJ0HL51						
POTATO	CFE1S8DYWD						
POVIDONE	FZ989GH94E						
POVIDONE K30	U725QWY32X						
POVIDONE-IODINE	85H0HZU99M						
PRALATREXATE	A8Q8I19Q20	 	 				
PRALIDOXIME	P7MU9UTP52	DB00733	Pralidoxime	DB00733	Pralidoxime		
PRAMIPEXOLE	83619PEU5T	DB00413	Pramipexole	DB00413	Pramipexole		
PRAMLINTIDE	D3FM8FA78T	DB01278	Pramlintide				
PRAMOXINE	068X84E056			 	 		
PRASUGREL	34K66TBT99	DB06209	Prasugrel				
PRAVASTATIN	KXO2KT9N0G	DB00175	Pravastatin				
PRAZIQUANTEL	6490C9U457	DB01058	Praziquantel			DB01058	Praziquantel
PRAZOSIN	XM03YJ541D	DB00457	Prazosin	 	 		
PREDNICARBATE	V901LV1K7D	DB01130	Prednicarbate				
PREDNISOLONE	9PHQ9Y1OLM	DB00860	Prednisolone	DB00860	Prednisolone		
PREDNISONE	VB0R961HZT	DB00635	Prednisone	DB00635	Prednisone	DB00635	Prednisone
PREGABALIN	55JG375S6M	DB00230	Pregabalin				
PRILOCAINE	046O35D44R	DB00750	Prilocaine	DB00750	Prilocaine		
PRIMAQUINE	MVR3634GX1	DB01087	Primaquine	DB00114	Pyridoxal Phosphate		
PRIMIDONE	13AFD7670Q	DB00794	Primidone	 	 	DB00794	Primidone
PROBENECID	PO572Z7917	DB01032	Probenecid				
PROCAINAMIDE	L39WTC366D	DB01035	Procainamide	DB01035	Procainamide		
PROCAINE	4Z8Y51M438	DB00721	Procaine	DB00721	Procaine		
PROCARBAZINE	35S93Y190K	DB01168	Procarbazine				
PROCHLORPERAZINE	YHP6YLT61T	DB00433	Prochlorperazine	DB00433	Prochlorperazine	DB00433	Prochlorperazine
PROFLAVINE HEMISULFATE	27V8M747VB						
PROGESTERONE	4G7DS2Q64Y	DB00396	Progesterone	DB00396	Progesterone	DB00396	Progesterone
PROGUANIL	S61K3P7B2V	DB01131	Proguanil	DB01131	Proguanil	DB01131	Proguanil
PROLINE	9DLQ4CIU6V	DB00172	L-Proline	DB00172	L-Proline	DB02853	D-Proline
PROMETHAZINE	FF28EJQ494	DB01069	Promethazine	DB01069	Promethazine	DB01069	Promethazine
PROPAFENONE	68IQX3T69U	DB01182	Propafenone				
PROPANTHELINE	1306V2B0Q8	DB00782	Propantheline				
PROPARACAINE	B4OB0JHI1X	DB00807	Proparacaine				
PROPOFOL	YI7VU623SF	DB00818	Propofol			DB00818	Propofol
PROPOLIS WAX	6Y8XYV2NOF						
PROPOXYPHENE	S2F83W92TK	DB00647	Propoxyphene	DB00647	Propoxyphene		
PROPRANOLOL	9Y8NXQ24VQ	DB00571	Propranolol	DB00571	Propranolol		
PROPYLENE GLYCOL	6DC9Q167V3	DB01839	1,2-Propanediol	DB01839	1,2-Propanediol	DB01839	1,2-Propanediol
PROPYLTHIOURACIL	721M9407IY	DB00550	Propylthiouracil	DB00550	Propylthiouracil		
PROSOPIS JULIFLORA POLLEN	6EIJ3D04MR						
PROTEIN C	3Z6S89TXPW						
PROTIRELIN	5Y5F15120W	 	 				
PROTOCATECHUALDEHYDE	4PVP2HCH4T						
PROTRIPTYLINE	4NDU154T12	DB00344	Protriptyline	DB00344	Protriptyline		
PSEUDOEPHEDRINE	7CUC9DDI9F	DB00852	Pseudoephedrine	DB00852	Pseudoephedrine	DB00852	Pseudoephedrine
PSEUDOTSUGA MENZIESII POLLEN	ZEI09763J3						
PSYLLIUM HUSK	0SHO53407G						
PUCCINIA GRAMINIS	O0HJ02QBWN						
PUMPKIN	SYW0QUB89Y						
PYRANTEL	4QIH0N49E7						
PYRANTEL PAMOATE	81BK194Z5M						
PYRAZINAMIDE	2KNI5N06TI	DB00339	Pyrazinamide			DB00339	Pyrazinamide
PYRETHRUM EXTRACT	ZUM06L90GV						
PYRIDOSTIGMINE	19QM69HH21	DB00545	Pyridostigmine			DB00545	Pyridostigmine
PYRIDOXAL 5-PHOSPHATE	F06SGE49M6	DB00114	Pyridoxal Phosphate	DB00114	Pyridoxal Phosphate	DB00114	Pyridoxal Phosphate
PYRIDOXINE	KV2JZ1BI6Z	DB00165	Pyridoxine	DB00165	Pyridoxine	DB00165	Pyridoxine
PYRILAMINE	HPE317O9TL	DB06691	Mepyramine	DB06691	Mepyramine	DB06691	Mepyramine
PYRIMETHAMINE	Z3614QOX8W	DB00205	Pyrimethamine	DB00205	Pyrimethamine	DB00205	Pyrimethamine
PYRITHIONE	6GK82EC25D						
PYRITHIONE ZINC	R953O2RHZ5						
PYROPHOSPHORIC ACID	4E862E7GRQ			DB04160	Diphosphate		
QUATERNIUM-18	O7757NO1VL						
QUERCUS AGRIFOLIA POLLEN	VOT5MA71M7						
QUERCUS ALBA POLLEN	Z4Y9ZSV4KK						
QUERCUS GAMBELII POLLEN	9HC15X34LX						
